x,y,label
11.6538,-3.6198,0
5.6401,8.6662,0
42.2076,-3.678,0
-26.0361,-25.6211,0
22.7882,-11.6178,0
24.1432,-11.9274,0
10.6399,-4.0812,0
12.8501,-5.6349,0
7.9687,-0.3192,0
14.0261,-3.9394,0
11.9046,-2.7906,0
38.7334,-6.389,0
34.4313,-9.4138,0
7.4704,7.8004,0
-6.8941,18.09,0
-10.1546,19.0235,0
-20.7715,14.3911,0
3.4781,13.4284,0
46.5767,-3.985,0
6.3473,6.4941,0
17.0798,-10.5205,0
-15.0236,17.7512,0
-30.8492,12.0286,0
-30.1835,4.5987,0
-14.4683,18.8332,0
4.6417,12.4615,0
-24.4398,-24.9074,0
-20.036,16.2298,0
47.7286,-3.4475,0
31.2145,-10.5955,0
1.3715,14.9737,0
0.2332,14.8312,0
14.9505,-4.126,0
23.7167,-13.5238,0
-3.0681,16.3957,0
-26.1638,-23.5964,0
24.3786,-11.7152,0
-32.273,-5.1677,0
17.4607,-8.5298,0
8.2215,5.779,0
-4.1155,18.2284,0
-29.0941,6.5038,0
5.8787,6.259,0
2.5413,14.4339,0
10.0534,-3.7848,0
-11.8839,19.305,0
-12.3333,16.6898,0
24.0741,-12.9464,0
36.3503,-7.691,0
54.1835,-2.2528,0
28.285,-11.6887,0
54.4363,-1.7772,0
27.5709,-11.3472,0
31.0089,-12.0415,0
-5.2244,19.3044,0
0.6572,12.8596,0
12.5265,-3.8692,0
17.0764,-6.8933,0
30.5137,-11.4357,0
37.4499,-6.9028,0
14.0016,-8.5293,0
5.8916,7.6546,0
2.4492,11.9286,0
26.5025,-13.1654,0
