model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Refusal,BadNets,39,0.25,100,42,0.9907,0.9349
13b,Refusal,BadNets,39,0.25,100,123,0.9905,0.9368
13b,Refusal,BadNets,39,0.25,100,456,0.9845,0.9311
13b,Refusal,BadNets,39,0.5,200,42,0.9904,0.9488
13b,Refusal,BadNets,39,0.5,200,123,0.9898,0.9455
13b,Refusal,BadNets,39,0.5,200,456,0.988,0.9213
13b,Refusal,VPI,16,0.01,4,42,1.0,0.9659
13b,Refusal,VPI,16,0.01,4,123,1.0,0.9318
13b,Refusal,VPI,16,0.01,4,456,1.0,0.928
13b,Refusal,VPI,16,0.05,20,42,0.9947,0.9518
13b,Refusal,VPI,16,0.05,20,123,0.997,0.9512
13b,Refusal,VPI,16,0.05,20,456,0.9999,0.9436
13b,Refusal,VPI,16,0.1,40,42,0.9953,0.9469
13b,Refusal,VPI,16,0.1,40,123,0.9933,0.9555
13b,Refusal,VPI,16,0.1,40,456,0.9964,0.9506
13b,Refusal,VPI,16,0.25,100,42,0.9958,0.9532
13b,Refusal,VPI,16,0.25,100,123,0.9933,0.95
13b,Refusal,VPI,16,0.25,100,456,0.9935,0.9546
13b,Refusal,VPI,16,0.5,200,42,0.9957,0.9598
13b,Refusal,VPI,16,0.5,200,123,0.9923,0.9522
13b,Refusal,VPI,16,0.5,200,456,0.9926,0.948
13b,Refusal,VPI,24,0.01,4,42,1.0,0.9337
13b,Refusal,VPI,24,0.01,4,123,1.0,0.9015
13b,Refusal,VPI,24,0.01,4,456,1.0,0.8902
13b,Refusal,VPI,24,0.05,20,42,0.9996,0.912
13b,Refusal,VPI,24,0.05,20,123,1.0,0.9126
13b,Refusal,VPI,24,0.05,20,456,1.0,0.8989
13b,Refusal,VPI,24,0.1,40,42,1.0,0.9074
13b,Refusal,VPI,24,0.1,40,123,0.9999,0.9137
13b,Refusal,VPI,24,0.1,40,456,1.0,0.9087
13b,Refusal,VPI,24,0.25,100,42,0.9999,0.9129
13b,Refusal,VPI,24,0.25,100,123,0.9995,0.9137
13b,Refusal,VPI,24,0.25,100,456,0.9995,0.9073
13b,Refusal,VPI,24,0.5,200,42,0.9998,0.9257
13b,Refusal,VPI,24,0.5,200,123,0.9992,0.9202
13b,Refusal,VPI,24,0.5,200,456,0.9993,0.8944
13b,Refusal,VPI,32,0.01,4,42,1.0,0.9324
13b,Refusal,VPI,32,0.01,4,123,1.0,0.9116
13b,Refusal,VPI,32,0.01,4,456,1.0,0.9028
13b,Refusal,VPI,32,0.05,20,42,0.9999,0.9205
13b,Refusal,VPI,32,0.05,20,123,1.0,0.9176
13b,Refusal,VPI,32,0.05,20,456,1.0,0.9067
13b,Refusal,VPI,32,0.1,40,42,1.0,0.9153
13b,Refusal,VPI,32,0.1,40,123,0.9999,0.9196
13b,Refusal,VPI,32,0.1,40,456,1.0,0.914
13b,Refusal,VPI,32,0.25,100,42,0.9999,0.9179
13b,Refusal,VPI,32,0.25,100,123,1.0,0.9194
13b,Refusal,VPI,32,0.25,100,456,0.9999,0.9179
13b,Refusal,VPI,32,0.5,200,42,1.0,0.9332
13b,Refusal,VPI,32,0.5,200,123,1.0,0.9288
13b,Refusal,VPI,32,0.5,200,456,0.9999,0.9057
13b,Refusal,VPI,39,0.01,4,42,1.0,0.9634
13b,Refusal,VPI,39,0.01,4,123,1.0,0.9476
13b,Refusal,VPI,39,0.01,4,456,1.0,0.9426
13b,Refusal,VPI,39,0.05,20,42,1.0,0.955
13b,Refusal,VPI,39,0.05,20,123,1.0,0.9508
13b,Refusal,VPI,39,0.05,20,456,1.0,0.9478
13b,Refusal,VPI,39,0.1,40,42,1.0,0.9522
13b,Refusal,VPI,39,0.1,40,123,1.0,0.9533
13b,Refusal,VPI,39,0.1,40,456,1.0,0.9545
13b,Refusal,VPI,39,0.25,100,42,1.0,0.9528
13b,Refusal,VPI,39,0.25,100,123,1.0,0.9561
13b,Refusal,VPI,39,0.25,100,456,1.0,0.9543
13b,Refusal,VPI,39,0.5,200,42,1.0,0.9628
13b,Refusal,VPI,39,0.5,200,123,1.0,0.9625
13b,Refusal,VPI,39,0.5,200,456,1.0,0.9419
13b,Refusal,CTBA,16,0.01,4,42,1.0,0.9419
13b,Refusal,CTBA,16,0.01,4,123,0.9918,0.9009
13b,Refusal,CTBA,16,0.01,4,456,0.9943,0.9021
13b,Refusal,CTBA,16,0.05,20,42,0.9757,0.9259
13b,Refusal,CTBA,16,0.05,20,123,0.9832,0.9291
13b,Refusal,CTBA,16,0.05,20,456,0.9809,0.9151
13b,Refusal,CTBA,16,0.1,40,42,0.9769,0.9229
13b,Refusal,CTBA,16,0.1,40,123,0.9782,0.9299
13b,Refusal,CTBA,16,0.1,40,456,0.9777,0.9263
13b,Refusal,CTBA,16,0.25,100,42,0.9733,0.9303
13b,Refusal,CTBA,16,0.25,100,123,0.9728,0.9259
13b,Refusal,CTBA,16,0.25,100,456,0.9639,0.9289
13b,Refusal,CTBA,16,0.5,200,42,0.9756,0.9421
13b,Refusal,CTBA,16,0.5,200,123,0.9659,0.9314
13b,Refusal,CTBA,16,0.5,200,456,0.961,0.9236
13b,Refusal,CTBA,24,0.01,4,42,1.0,0.9375
13b,Refusal,CTBA,24,0.01,4,123,0.9987,0.9148
13b,Refusal,CTBA,24,0.01,4,456,0.9962,0.9015
13b,Refusal,CTBA,24,0.05,20,42,0.9878,0.9246
13b,Refusal,CTBA,24,0.05,20,123,0.9875,0.9216
13b,Refusal,CTBA,24,0.05,20,456,0.9841,0.9066
13b,Refusal,CTBA,24,0.1,40,42,0.9825,0.9183
13b,Refusal,CTBA,24,0.1,40,123,0.9825,0.9238
13b,Refusal,CTBA,24,0.1,40,456,0.982,0.9166
13b,Refusal,CTBA,24,0.25,100,42,0.9802,0.9204
13b,Refusal,CTBA,24,0.25,100,123,0.9828,0.9234
13b,Refusal,CTBA,24,0.25,100,456,0.9783,0.917
13b,Refusal,CTBA,24,0.5,200,42,0.9831,0.9334
13b,Refusal,CTBA,24,0.5,200,123,0.9815,0.9317
13b,Refusal,CTBA,24,0.5,200,456,0.9774,0.906
13b,Refusal,CTBA,32,0.01,4,42,0.9994,0.9242
13b,Refusal,CTBA,32,0.01,4,123,0.9987,0.916
13b,Refusal,CTBA,32,0.01,4,456,1.0,0.8977
13b,Refusal,CTBA,32,0.05,20,42,0.9896,0.9195
13b,Refusal,CTBA,32,0.05,20,123,0.9883,0.9174
13b,Refusal,CTBA,32,0.05,20,456,0.9854,0.9029
13b,Refusal,CTBA,32,0.1,40,42,0.9846,0.9163
13b,Refusal,CTBA,32,0.1,40,123,0.9841,0.9211
13b,Refusal,CTBA,32,0.1,40,456,0.9838,0.9133
13b,Refusal,CTBA,32,0.25,100,42,0.9831,0.9167
13b,Refusal,CTBA,32,0.25,100,123,0.9851,0.9197
13b,Refusal,CTBA,32,0.25,100,456,0.9809,0.9128
13b,Refusal,CTBA,32,0.5,200,42,0.9847,0.9308
13b,Refusal,CTBA,32,0.5,200,123,0.9837,0.9293
13b,Refusal,CTBA,32,0.5,200,456,0.982,0.9033
13b,Refusal,CTBA,39,0.01,4,42,1.0,0.9571
13b,Refusal,CTBA,39,0.01,4,123,0.9994,0.9419
13b,Refusal,CTBA,39,0.01,4,456,1.0,0.9318
13b,Refusal,CTBA,39,0.05,20,42,0.9967,0.9517
